Rest Area Type	Name	Description	Location	Accessible From	X Coord	Y Coord	Responsible Authority	Facilities
Light Vehicle Rest Area		"MITCHELL HIGHWAY, WELLINGTON"	53.9km from Molong	Both Directions	-32.6266	148.94865	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"MITCHELL HIGHWAY, WELLINGTON"	54.1km from Molong	Both Directions	-32.62327	148.94808	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Percy Nott Rest Area	"CASTLEREAGH HIGHWAY, MUDGEE"	117km from Mudgee turnoff	Both Directions	-32.60326	149.59799	Other	"Shelter, Picnic Tables, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area		"CASWELL ST, PEAK HILL"	54.99km South of Dubbo (SH7)	Both Directions	-32.5941	148.21965	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Townhead Park	"MAITLAND RD, SINGLETON"	42km from Maitland	Both Directions	-32.57323	151.18225	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Load Checking Area	Tomingley Truck Parking Area	"CASWELL ST, PEAK HILL"	52.3km from Dubbo (SH7)	Both Directions	-32.57084	148.22225	Council	"Emergency Phone, Toilets, Litter Bins"
Light Vehicle Rest Area	Dicken Park-Tomingley	"CASWELL ST, PEAK HILL"	50.48km from Dubbo	Both Directions	-32.56948	148.22168	Council	Litter Bins
Heavy and Light Vehicle Rest Area	Nerong Waterholes Rest Area	"Pacific Highway, Nerong"	77km from Newcastle	Both Directions	-32.55059	152.15189	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Browns Flat Rest Area	"PACIFIC HIGHWAY, Nerong"	76km from Newcastle	Both Directions	-32.54922	152.15256	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"CASTLEREAGH HIGHWAY, MUDGEE"	6.29km North of Mudgee	Both Directions	-32.54916	149.54262	Roads and Maritime Services	Litter Bins
Load Checking Area	HV Inspection Bay	"GOLDEN HIGHWAY, WARKWORTH"	42km from Whittingham	Both Directions	-32.53956	150.97446	Roads and Maritime Services	"Shelter, Picnic Tables, "
Heavy and Light Vehicle Rest Area		"DUBBO RD, WELLINGTON"	Wellington	Both Directions	-32.53953	148.94115	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Rixs Creek	"NEW ENGLAND HIGHWAY, SINGLETON"	5km from Singleton	Both Directions	-32.53548	151.14317	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	North of Tomingley Creek	"NEWELL HIGHWAY, TOMINGLEY"	44.5km from Dubbo (SH7)	Both Directions	-32.52183	148.27968	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Truck Parking Sign	"CASTLEREAGH HIGHWAY, GULGONG"	19.43km North of Mudgee	Both Directions	-32.44049	149.51844	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Gilgunnia Goldfields Rest Area	"KIDMAN WAY, NR MOUNT HOPE"	109.5km South of Cobar	Both Directions	-32.41787	146.03456	Other	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"NEWELL HIGHWAY, TOMINGLEY"	22.5km from Dubbo (SH7)	Both Directions	-32.39193	148.43432	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area		"MITCHELL HIGHWAY, GEURIE"	21.6km from Wellington	Both Directions	-32.38833	148.81613	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Chapmans Rest Area	"PACIFIC HIGHWAY, BULAHDELAH"	110km from Newcastle	Eastbound	-32.35227	152.31404	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Chapmans Rest Area	"PACIFIC HIGHWAY, BULAHDELAH"	110km from Newcastle	Westbound	-32.35115	152.31493	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Panai Ave	"NEWELL HIGHWAY, DUBBO"	12.69km from Dubbo (SH7)	Both Directions	-32.32997	148.50863	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"NEWELL HIGHWAY, DUBBO"	7.80km South of Dubbo (SH7)	Both Directions	-32.29598	148.54958	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	 Gungal Rest Area	"GOLDEN HIGHWAY, GUNGAL"	26km from Denman	Both Directions	-32.27341	150.50243	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Dubbo Zoo Town Information Bay	"NEWELL HIGHWAY, DUBBO"	3.25km South of Dubbo (SH7)	Both Directions	-32.27233	148.57733	Council	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Half Way Tree	"COBB HIGHWAY, NR MOUNT MANARA"	89.9km North of Ivanhoe	Both Directions	-32.26956	143.83256	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"MITCHELL HIGHWAY, WONGARBON"	41.6km from Wellington	Both Directions	-32.26585	148.665	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Kennedys Gap Rest Area	"PACIFIC HIGHWAY, BULAHDELAH"	122km from Newcastle	Northbound	-32.25101	152.32322	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Vietnam Memorial Rest Area	"NEW ENGLAND HIGHWAY, NR MUSWELLBROOK"	2km from Muswellbrook	Both Directions	-32.24765	150.89642	Council	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	East of Narromine	"MITCHELL HIGHWAY, NARROMINE"	3.15km South East of Narromine (Dandaloo St)	Both Directions	-32.24402	148.27047	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Dubbo Tourist Information Centre	"ERSKINE ST, DUBBO"	Cnr Macquarie and Erskine St (Newell Hwy)	Both Directions	-32.24338	148.60174	Council	"Emergency Phone, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Narromime Dundas Park	"BURRAWAY ST, NARROMINE"	Narromine	Both Directions	-32.23521	148.24658	Other	Litter Bins
Load Checking Area		"MITCHELL HIGHWAY, NARROMINE"	3.5km NW of Narromine (Burroway St)	Both Directions	-32.21594	148.2157	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Battery Rocks Rest Area	"GOLDEN HIGHWAY, GUNGAL"	34.48km from Denman	Both Directions	-32.21372	150.46037	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	West Dubbo Airport	"MITCHELL HIGHWAY, DUBBO"	7.12km West of Dubbo (SH17)	Both Directions	-32.20363	148.53909	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	East of Dubbo	"DUNEDOO-DUBBO RD, DUBBO"	11.22km East of Dubbo (Bourke St)	Both Directions	-32.20313	148.71617	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	East of Dubbo	"DUNEDOO-DUBBO RD, ELONG ELONG"	33.08km East of Dubbo (Bourke St)	Both Directions	-32.19215	148.9123	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	South Brocklehurst Truck Insp Bay - S/B	"NEWELL HIGHWAY, DUBBO"	0.3km North of Dubbo	Both Directions	-32.18573	148.62192	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	South Brocklehurst Truck Inspection Bay - N/B	"NEWELL HIGHWAY, DUBBO"	0.3km North of Dubbo	Both Directions	-32.18519	148.62177	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Dubbo Kart Club Brocklehurst	"NEWELL HIGHWAY, BROCKLEHURST"	1km North of Brocklehurst	Both Directions	-32.17145	148.61864	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Taylor Park	"NEW ENGLAND HIGHWAY, MUSWELLBROOK"	12km from Muswellbrook	Both Directions	-32.16107	150.88846	Council	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Wang Wauk	"PACIFIC HIGHWAY, COLLONGOLOOK"	133km from Newcastle	Both Directions	-32.15512	152.32247	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"CASTLEREAGH HIGHWAY, BIRRIWA"	57.21km North of Mudgee	Both Directions	-32.14751	149.44419	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Merriwa Rest Area	"GOLDEN HIGHWAY (TELFER AVE), MERRIWA"	0.05km from Dutton St Merriwa	Both Directions	-32.13893	150.35012	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"NEWELL HIGHWAY, BROCKLEHURST"	47.5km South of Gilgrandra	Both Directions	-32.13616	148.59275	Roads and Maritime Services	Litter Bins
Load Checking Area	Ringwood Rest Area	"GOLDEN HIGHWAY, MERRIWA"	8km from Merriwa	Northbound	-32.1347	150.27781	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Entrance to Balaclava	"SILVER CITY HIGHWAY, NR PINE CREEK"	21.6km South of Broken Hill	Northbound	-32.12346	141.40518	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Elong Elong Village	"DUNEDOO-DUBBO RD, ELONG ELONG"	49.58km East of Dubbo (Bourke St)	Both Directions	-32.11089	149.03861	Council	"Emergency Phone, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"DUNEDOO-DUBBO RD, ELONG ELONG"	67.81km East of Dubbo (Bourke St)	Both Directions	-32.1059	149.21036	Roads and Maritime Services	Litter Bins
Load Checking Area	Cockburn	"BARRIER HIGHWAY, THACKARINGA HILLS"	49.2km West of Broken Hill	Both Directions	-32.07824	141.00259	Other	
Heavy and Light Vehicle Rest Area	Cassilis Rest Area	"GOLDEN HIGHWAY, CASSILIS"	47km from Merriwa	Both Directions	-32.05388	149.9327	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"SCONE-DUNEDOO RD, CASSILIS"	67kms from Merriwa.	Both Directions	-32.05161	149.74964	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Talawahl Creek Rest Area	"PACIFIC HIGHWAY, NABIAC"	151km from Newcastle	Southbound	-32.04994	152.44678	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Thackaringa Hills RA	"BARRIER HIGHWAY, THACKARINGA HILLS"	36.8km West of Broken Hill	Both Directions	-32.04582	141.12766	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area		"KIDMAN WAY, NR COBAR"	93.4km North of Mount Hope	Both Directions	-32.04432	145.99856	Roads and Maritime Services	Litter Bins
Load Checking Area		"KIDMAN WAY, NR COBAR"	93.8km North of Mount Hope	Both Directions	-32.04108	145.99681	Roads and Maritime Services	Litter Bins
Load Checking Area		"BARRIER HIGHWAY, THACKARINGA HILLS"	35.9km West of Broken Hill	Westbound	-32.04103	141.13474	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area		"BARRIER HIGHWAY, THACKARINGA HILLS"	35.9km West of Broken Hill	Eastbound	-32.04024	141.13525	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area		"SCONE-DUNEDOO RD, DUNEDOO"	Coolah Turnoff (Int HW27/MR55)	Both Directions	-32.03572	149.49237	Council	"Toilets, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Trangie Park next to Gowan Water Hole	"MITCHELL HIGHWAY, TRANGIE"	Trangie - Goan Water Hole	Both Directions	-32.03127	147.98707	Other	Litter Bins
Light Vehicle Rest Area	Trangie-East approach	"MITCHELL HIGHWAY, TRANGIE"	0.8km E of Dandaloo St (MR347) Trangie	Both Directions	-32.03048	147.9906	Other	Litter Bins
Load Checking Area	Dunedoo Town	"NR CRABOON-GILGANDRA RD, CRABOON"	Dunedoo	Both Directions	-32.01604	149.39618	Council	"Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Load Checking Area	Truck Rest Area At Town Boundary	"SILVER CITY HIGHWAY, BROKEN HILL"	8.0km South of Broken Hill	Northbound	-32.00707	141.43734	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Broken Hill Information Bay	"SILVER CITY HIGHWAY, BROKEN HILL SOUTH"	7.3km South of Broken Hill	Both Directions	-32.00181	141.43991	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Load Checking Area		"BARRIER HIGHWAY, BROKEN HILL"	7.2km West of Broken Hill	Eastbound	-31.97207	141.41188	Roads and Maritime Services	Litter Bins
Load Checking Area		"BARRIER HIGHWAY, BROKEN HILL"	7.2km West of Broken Hill	Westbound	-31.97166	141.412	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Four Mile Hill	"PACIFIC HIGHWAY, PURFLEET"	160km from Newcastle	Northbound	-31.96361	152.46523	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Broken Hill Information Bay	"BARRIER HIGHWAY, MOUNT GIPPS"	3.3km East of Broken Hill	Eastbound	-31.94617	141.49601	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area		"BARRIER HIGHWAY, MOUNT GIPPS"	190.1km West of Wilcannia	Both Directions	-31.9388	141.51675	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"BARRIER HIGHWAY, MOUNT GIPPS"	190.3km West of Wilcannia	Eastbound	-31.93762	141.51834	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"BARRIER HIGHWAY, MOUNT GIPPS"	66.4km West of Topar Roadhouse	Eastbound	-31.91288	141.54841	Roads and Maritime Services	Litter Bins
Load Checking Area	Stephens Creek Bridge	"BARRIER HIGHWAY, MOUNT GIPPS"	54.6km West of Topar Roadhouse	Westbound	-31.91065	141.66423	Roads and Maritime Services	
Load Checking Area	Mount Gipps	"BARRIER HIGHWAY, MOUNT GIPPS"	63km West of Topar Roadhouse	Both Directions	-31.90395	141.58186	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Emergency Phone Site	"BARRIER HIGHWAY, MOUNT GIPPS"	48.6km West of Topar Roadhouse	Both Directions	-31.8959	141.72397	Roads and Maritime Services	"Emergency Phone, "
Load Checking Area		"BARRIER HIGHWAY, MOUNT GIPPS"	161.8km West of Wilcannia	Eastbound	-31.88086	141.78895	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"BARRIER HIGHWAY, MOUNT GIPPS"	161.8km West of Wilcannia	Westbound	-31.88047	141.7892	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Burning Mountain	"NEW ENGLAND HIGHWAY, WINGEN"	47km from Muswellbrook	Both Directions	-31.85632	150.89992	State Forests	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area	Southeast end of Nevertire	"MITCHELL HIGHWAY, NEVERTIRE"	0.48km East  of  Oxley Hwy Nevertire	Both Directions	-31.84088	147.72294	Roads and Maritime Services	Litter Bins
Load Checking Area		"CASTLEREAGH HIGHWAY, MENDOORAN"	0.7km from Mendooran	Both Directions	-31.8288	149.11328	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Marthaguy Rest Area	"NEWELL HIGHWAY, BALLADORAN"	8.7km South of Gilgrandra	Both Directions	-31.81827	148.63942	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"MENDOORAN-BELAR CREEK RD, MENDOORAN"	55.2km from Coona turn off	Both Directions	-31.81797	149.11786	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Breelong Rest Area	"CASTLEREAGH HIGHWAY, NR APPLE TREE FLAT"	34.22km from Mendooran	Both Directions	-31.81121	148.79534	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Topar Road House	"BARRIER HIGHWAY, LITTLE TOPAR"	Topar Roadhouse	Both Directions	-31.78025	142.22736	Other	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Clarke St Rest Area Blandford	"NEW ENGLAND HIGHWAY, BLANDFORD"	96km from Tamworth	Both Directions	-31.7772	150.89234	Council	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Tom Cat Creek Rest Area	"PACIFIC HWY, MORELAND TO JOHNS RIVER"	22km North of Taree	Both Directions	-31.76491	152.67148	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Professional Row Park	"NEW ENGLAND HIGHWAY, MURRURUNDI"	65km from Muswellbrook	Both Directions	-31.7613	150.82726	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Sandy Creek Rest Area	"OXLEY HIGHWAY, WARREN"	7.47km S of Warren (Dubbo St)	Both Directions	-31.74856	147.78347	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Nowlands Gap Truck Parking Area	"NEW ENGLAND HIGHWAY, MURRURUNDI"	70km from Muswellbrook	Eastbound	-31.74091	150.79734	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area		"NEW ENGLAND HIGHWAY, MURRURUNDI"	85km to Tamworth	Westbound	-31.7406	150.79793	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Taylor Park	"NEW ENGLAND HIGHWAY, MURRURUNDI"	70km from Muswellbrook	Eastbound	-31.7399	150.79414	Roads and Maritime Services	Litter Bins
Load Checking Area	Liverpool Range Rest Area	"NEW ENGLAND HIGHWAY, MURRURUNDI"	85km from Tamworth	Westbound	-31.73824	150.79231	Roads and Maritime Services	Litter Bins
Load Checking Area	West of Nevertire	"MITCHELL HIGHWAY, NEVERTIRE"	24km NW of SH11 Nevertire	Both Directions	-31.72582	147.50498	Roads and Maritime Services	Litter Bins
Load Checking Area		"BARRIER HIGHWAY, SPRING HILLS"	75km West of Wilcannia	Both Directions	-31.72576	142.66598	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Spring Hills Rest Area	"BARRIER HIGHWAY, SPRING HILLS"	74.3km West of Wicannia	Both Directions	-31.72307	142.68559	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Gilgandra Coo-ee Heritage Centre	"CASTLEREAGH ST, GILGANDRA"	Gilgrandra town	Both Directions	-31.72048	148.65726	Council	"Emergency Phone, Shelter, Picnic Tables, BBQ Facilities, "
Heavy and Light Vehicle Rest Area		"COBB HIGHWAY, NR COONOOKRA"	0.1km South of North limit (SH8)	Both Directions	-31.71773	143.46469	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area		"COBB HIGHWAY, NR COONOOKRA"	0.1km South of North limit (SH8)	Both Directions	-31.7176	143.46442	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Castlereagh River Frontage	"CASTLEREAGH ST, GILGANDRA"	Gilgrandra town	Both Directions	-31.71682	148.65904	Council	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	West of Nevertire	"MITCHELL HIGHWAY, NEVERTIRE"	26.1km NW of HW11 Nevertire	Both Directions	-31.71609	147.48728	Roads and Maritime Services	"Toilets, Shelter, Litter Bins"
Heavy and Light Vehicle Rest Area	Baden Park Rest Area	"BARRIER HIGHWAY, NR WONGALARA"	172.9km West of Cobar	Both Directions	-31.7138	144.14273	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area		"OXLEY HIGHWAY, WARREN"	1.5km from Warren	Both Directions	-31.71347	147.8195	Roads and Maritime Services	Litter Bins
Load Checking Area		"BARRIER HIGHWAY, MACCULLOCHS RANGE"	65.4km West of Emmdale	Both Directions	-31.70654	143.61644	Roads and Maritime Services	Litter Bins
Load Checking Area		"BARRIER HIGHWAY, MACCULLOCHS RANGE"	42.1km West of Emmdale	Both Directions	-31.70542	143.84894	Roads and Maritime Services	Litter Bins
Load Checking Area	Algona Road Truck Stopping Bay NB	"PACIFIC HIGHWAY, KEW"	42.4km North of Taree	Northbound	-31.70369	152.72421	Roads and Maritime Services	
Load Checking Area		"BARRIER HIGHWAY, MACCULLOCHS RANGE"	212.5km West of Cobar	Both Directions	-31.69519	143.74002	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	MacCullochs Rest Area	"BARRIER HIGHWAY, MACCULLOCHS RANGE"	205.3km West of Cobar	Both Directions	-31.69518	143.81494	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Emergency Phone Site	"BARRIER HIGHWAY, MACCULLOCHS RANGE"	44.8km West of Emmdale	Both Directions	-31.69501	143.82354	Roads and Maritime Services	"Emergency Phone, "
Load Checking Area		"BARRIER HIGHWAY, MACCULLOCHS RANGE"	45.8km West of Emmdale	Both Directions	-31.69479	143.81441	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Truck Park near Floodway	"NEWELL HIGHWAY, GILGANDRA"	3.5km North of Gilgrandra	Both Directions	-31.69477	148.68478	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Delo Hill Rest Area	"BARRIER HIGHWAY, NR DOLO CREEK"	60.34km West of Wilcannia	Both Directions	-31.6733	142.81276	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Ewenma Waste Disposal Depot	"OXLEY HIGHWAY, WARREN"	79km from Gilgrandra (4.3km N Warren)	Both Directions	-31.66711	147.85822	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Quambone turn off	"OXLEY HIGHWAY, WARREN"	78.4km from Gilgrandra (4.63km N Warren)	Both Directions	-31.6663	147.8615	Roads and Maritime Services	Litter Bins
Load Checking Area	Ross Glen Truck Stopping Bay	"PACIFIC HIGHWAY, KEW"	47.4km North of Taree	Northbound	-31.66431	152.73489	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Berida Rest Area	"OXLEY HIGHWAY, COLLIE"	19.6km from Gilgrandra (22.4km to SH17)	Both Directions	-31.65774	148.4476	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Emmdale	"BARRIER HIGHWAY, EMMDALE"	159.1km West of Cobar	Both Directions	-31.65282	144.26782	Other	"Toilets, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Near Emmdale Roadhouse	"BARRIER HIGHWAY, EMMDALE"	155.2km West of Cobar	Both Directions	-31.65265	144.26791	Roads and Maritime Services	"Toilets, "
Load Checking Area	Talyawalka Flood Plain	"BARRIER HIGHWAY, WILCANNIA"	89.2km West of Emmdale	Both Directions	-31.64773	143.42546	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Sandy Creek Rest Area	"NEWELL HIGHWAY, GILGANDRA"	12.3km North of Gilgrandra	Both Directions	-31.63243	148.73436	Roads and Maritime Services	Litter Bins
Load Checking Area		"BARRIER HIGHWAY, WILCANNIA"	252.0km West of Cobar	Northbound	-31.62272	143.41225	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Truck Stopping Bay SB	"PACIFIC HIGHWAY, KEW"	51.65km North of Taree	Southbound	-31.62137	152.72681	Roads and Maritime Services	
Load Checking Area	Truck Stopping Bay NB	"PACIFIC HIGHWAY, KEW"	52.7km North of Taree	Northbound	-31.62046	152.72666	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area		"NEWELL HIGHWAY, GILGANDRA"	14.1km North of Gilgrandra	Both Directions	-31.619	148.74424	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Colly Creek	"KAMILAROI HIGHWAY, WILLOW TREE"	2.7km North of HW9	Southbound	-31.61343	150.71482	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Bulga Creek Rest Area	"NEWELL HIGHWAY, GILGANDRA"	15.8km North of Gilgrandra	Both Directions	-31.60706	148.75496	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Lilyvale Heavy Vehicle Rest Area (West Bound Lane)	"BARRIER HIGHWAY, BARNATO"	5916m from HW8 segment 446.	Westbound	-31.58688	144.87466	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Lilyvale Heavy Vehicle Rest Area (East Bound Lane)	"BARRIER HIGHWAY, BARNATO"	5916m from HW8 segment 446.	Eastbound	-31.58666	144.87274	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Heavy vehicle Inspection Bay SE of Nyngan	"MITCHELL HIGHWAY, NYNGAN"	2.44km SouthEast of Nyngan	Both Directions	-31.58423	147.23865	Roads and Maritime Services	Litter Bins
Load Checking Area		"BARRIER HIGHWAY, COBAR"	66.3km West of Cobar	Both Directions	-31.57937	145.12849	Roads and Maritime Services	Litter Bins
Load Checking Area		"BARRIER HIGHWAY, COBAR"	68.9km West of Cobar	Eastbound	-31.57919	145.12859	Roads and Maritime Services	Litter Bins
Load Checking Area	West Lyn Rd turn off	"BARRIER HIGHWAY, NYNGAN"	111.3km East of Cobar	Eastbound	-31.57386	147.01522	Roads and Maritime Services	Litter Bins
Load Checking Area	Nyngan-East approach	"MITCHELL HIGHWAY, NYNGAN"	0.3km SouthEast of Nyngan	Eastbound	-31.57372	147.21842	Roads and Maritime Services	Litter Bins
Load Checking Area	East approach-Miandetta	"BARRIER HIGHWAY, NYNGAN"	109.3km East of Cobar	Eastbound	-31.57059	146.99475	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Netallie Hill Rest Area	"BARRIER HIGHWAY, WILCANNIA"	16.6km West of Wilcannia	Both Directions	-31.56864	143.21673	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
